# SoT for GET /api/v1/writebacks/possible/ (PRD-WB-01C). Object-level summary: docs/engineering/WRITEBACK_SURFACE_MATRIX.md
check_id,check_name,pack_fix_type,pack_fix_owner,pack_suggested_fix_summary,platform,op_kind,entity,field_or_key,namespace,creates_new,updates_existing,write_possible_today,rollback_possible_today,mapping_file,registry_enabled,blocker,evidence_note,last_verified
CI-01,Contact count reconciliation,Automated writeback (approved),Klints (automated),Backfill Shopify-only contacts into Manago via upsert,manago,contact_upsert,contact,email,native,yes,yes,yes,yes,CI-01.identity_backfill.v1.json,true,,"Catalogue Suggested Fix + CI-01 mapping + RESTV2.CONTACT.UPSERT CONFIRMED_LIVE; execute gated by Settings Allow writebacks",2026-08-25
CI-01,Contact count reconciliation,Automated writeback (approved),Klints (automated),Stamp klints_backfill on upserted Manago contacts,manago,contact_upsert,contact,klints_backfill,klints_,yes,yes,yes,yes,CI-01.identity_backfill.v1.json,true,,"Mapping mark_klints_backfill; rollback tagged_backfill_delete clears marker; execute gated by Settings Allow writebacks",2026-08-25
CC-03,Consent provenance completeness,Automated writeback (approved),Data lead,Record Shopify consent evidence on the Manago contact detail,manago,detail_set,contact,klints_consent_evidence,klints_,yes,yes,yes,yes,CC-03.consent_provenance.v1.json,true,,"Catalogue Suggested Fix + CC-03 mapping + execute/rollback validated; gated by Settings Allow writebacks",2026-08-25
WB-SHOP-01,Sandbox proof — Shopify customer note,Sandbox proof (not Catalogue Automated writeback),Klints (sandbox),Overwrite Shopify customer Notes with klints_wb_test proof marker,shopify,shopify_customer_update,customer,note,native,no,yes,yes,yes,WB-SHOP-01.customer_note.v1.json,true,,"WB-01B proof mapping; SHOPIFY.CUSTOMER.UPDATE CONFIRMED_LIVE; execute gated by Settings Allow writebacks",2026-08-25
LE-04,Duplicate purchase events per order,Integration build + Manual,External integrator,Flag duplicate purchase clusters for human/integration review (T6),manago,tag_add,contact,tag:klints:duplicate_review,klints:,n/a,n/a,disabled,n/a,LE-04.duplicate_purchase.v1.json,false,pack_fix_type=Integration+Manual,PRD-WB-01B: registry enabled=false template_id=T6; do not advertise preview,2026-08-14
CI-03,Duplicate contacts in Manago,Automated writeback (approved),CRM manager,Propose duplicate-contact merge plan — not auto-merged,manago,contact_merge,contact,—,n/a,n/a,n/a,disabled,n/a,CI-03.contact_merge.v1.json,false,mapping_stub_not_built,Registry stub; operations empty; contact merge out of WB-01B/01C,2026-08-14
SP-01,Tag consolidation,Automated writeback (approved),Klints (automated),Consolidate tags onto a klints: namespace — mapping not built,manago,tag_add,contact,—,klints:,n/a,n/a,disabled,n/a,SP-01.tag_consolidation.v1.json,false,mapping_stub_not_built,Registry stub; operations empty; not enabled,2026-08-14
LE-01,Purchase event count parity,Automated writeback (approved),Klints (automated),Backfill missing Manago PURCHASE events from Shopify orders,manago,event_ingest,event,PURCHASE,native,yes,no,disabled,no,LE-01.event_backfill.v1.json,false,registry_disabled;event_ingest_rollback_limited,Mapping file exists but registry enabled=false; event ingest rollback not supported,2026-08-14
SHOPIFY-ORDER,Shopify Order,n/a,n/a,Not a Klints write surface — orders are read/normalized only,shopify,—,order,—,n/a,n/a,n/a,no,n/a,—,false,orders_not_supported,WRITEBACK_SURFACE_MATRIX.md: Shopify Order writer not in adapter,2026-08-14
SHOPIFY-TRANSACTION,Shopify Transaction / payment,n/a,n/a,Not a Klints write surface — payments are not written,shopify,—,transaction,—,n/a,n/a,n/a,no,n/a,—,false,orders_not_supported,WRITEBACK_SURFACE_MATRIX.md: Shopify Transaction writer not in adapter,2026-08-14
MANAGO-ORDER,Manago Order CRUD,n/a,n/a,Manago has events/transactions not Shopify-style Order update APIs,manago,—,order,—,n/a,n/a,n/a,no,n/a,—,false,orders_not_supported,WRITEBACK_SURFACE_MATRIX.md: no dedicated Manago order updater,2026-08-14
SHOPIFY-METAFIELD,Shopify customer metafield (klints),n/a,n/a,Preferred hygienic Shopify write is metafield namespace=klints — not execute yet,shopify,shopify_metafield_set,customer,klints.wb_test,klints,n/a,n/a,no,n/a,—,false,adapter_stub_not_execute,Capability/op_kind stub; WB-SHOP-01 uses native note instead,2026-08-14
